-30,-20,51
-30,-21,51
-30,-20,50
-31,-21,51
-31,-21,51
-30,-21,51
-30,-20,51
-30,-20,50
-30,-21,50
-32,-21,52
-30,-20,51
-30,-21,50
-29,-21,51
-29,-21,51
-29,-21,51
-30,-21,51
-29,-21,51
-29,-21,51
-30,-21,51
-29,-21,51
-29,-20,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-29,-21,51
-29,-21,51
-29,-21,51
-30,-21,52
-30,-21,51
-30,-21,51
-30,-21,51
-29,-21,51
-29,-21,51
-29,-21,52
-31,-21,50
-31,-21,51
-31,-21,51
-31,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-29,-21,51
-30,-21,50
-31,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-29,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-29,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-29,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-29,-21,51
-29,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-30,-21,51
-29,-21,51
-29,-21,51
-31,-21,52
-31,-20,52
-31,-21,51
-31,-21,52
-32,-21,52
-26,-21,53
-22,-22,53
-19,-22,53
-15,-22,55
-14,-23,55
-16,-23,54
-21,-22,54
-21,-22,54
-22,-23,54
-21,-23,55
-21,-23,55
-20,-22,55
-17,-23,56
-20,-23,54
-21,-22,54
-19,-23,54
-19,-23,55
-20,-24,52
-29,-23,50
-31,-24,50
-29,-24,47
-33,-20,39
-37,-25,44
-43,-20,40
-54,-15,37
-51,-27,35
-56,-19,32
-54,-22,31
-53,-20,29
-48,-24,35
-49,-23,33
-43,-27,37
-48,-21,34
-44,-21,36
-48,-22,36
-47,-22,38
-48,-26,32
-48,-22,39
-41,-22,44
-37,-23,46
-31,-20,47
-23,-21,51
-21,-20,51
-24,-16,58
-24,-16,57
-21,-18,57
-29,-17,53
-27,-17,54
-27,-18,54
-33,-17,50
-27,-17,50
-27,-14,49
-35,-14,48
-41,-14,46
-39,-14,48
-39,-14,49
-42,-13,48
-43,-15,50
-38,-15,48
-37,-17,50
-40,-17,50
-38,-17,48
-37,-18,48
-37,-19,50
-42,-18,46
-31,-20,45
-30,-13,49
-33,-24,51
-31,-22,50
-29,-21,49
-23,-20,50
-33,-19,49
-29,-23,50
-36,-24,48
-36,-19,51
-32,-22,49
-36,-16,50
-31,-20,49
-25,-19,52
-28,-21,51
-29,-19,53
-28,-13,55
-28,-12,56
-30,-13,57
-26,-17,56
-20,-12,96
-18,-17,56
-22,-15,55
-24,-15,57
-25,-13,57
-26,-14,55
-27,-14,56
-24,-13,54
-24,-14,55
-24,-14,56
-24,-14,56
-25,-14,55
-27,-13,56
-27,-13,58
-26,-15,55
-27,-14,61
-30,-13,78
-33,-18,53
-27,-20,49
-22,-19,48
-20,-16,51
-19,-22,54
-26,-19,54
-26,-19,54
-27,-18,52
-26,-18,53
-26,-16,55
-30,-19,52
-28,-17,52
